stasiun_id,horizon,definition,method,tp,fp,fn,f1,csi,pod,far,n_obs_hours
126,12,rise,persistence,125,373,455,0.23191094619666047,0.1311647429171039,0.21551724137931033,0.748995983935743,580
126,12,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,12,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
126,24,p95,lstm,0,0,0,,,,,0
126,24,p95,persistence,0,0,0,,,,,0
126,24,rise,lstm,159,2103,397,0.11284599006387509,0.05979691613388492,0.28597122302158273,0.9297082228116711,556
126,24,rise,persistence,138,302,418,0.27710843373493976,0.16083916083916083,0.24820143884892087,0.6863636363636364,556
126,24,siaga3,lstm,0,0,1,0.0,0.0,0.0,,1
126,24,siaga3,persistence,0,1,1,0.0,0.0,0.0,1.0,1
140,1,p95,lstm,895,84,153,0.8830784410458806,0.7906360424028268,0.8540076335877863,0.08580183861082738,1048
140,1,p95,persistence,856,189,192,0.8179646440516005,0.6919967663702506,0.816793893129771,0.18086124401913875,1048
140,1,rise,lstm,474,50,80,0.8794063079777366,0.7847682119205298,0.855595667870036,0.09541984732824428,554
140,1,rise,persistence,421,124,133,0.7661510464058234,0.6209439528023599,0.759927797833935,0.22752293577981653,554
140,1,siaga3,lstm,7243,98,483,0.961438906218889,0.9257413087934561,0.937483820864613,0.013349679880125323,7726
140,1,siaga3,persistence,7384,317,342,0.9572826861995203,0.918065398483153,0.9557338855811546,0.04116348526165433,7726
140,6,p95,lstm,598,184,450,0.653551912568306,0.48538961038961037,0.5706106870229007,0.23529411764705882,1048
140,6,p95,persistence,243,804,805,0.23198090692124104,0.13120950323974082,0.2318702290076336,0.7679083094555874,1048
140,6,rise,lstm,328,152,222,0.6368932038834951,0.4672364672364672,0.5963636363636363,0.31666666666666665,550
140,6,rise,persistence,42,502,508,0.07678244972577697,0.039923954372623575,0.07636363636363637,0.9227941176470589,550
140,6,siaga3,lstm,6579,250,1142,0.9043298969072165,0.8253669552126458,0.8520916979665847,0.03660858105139845,7721
140,6,siaga3,persistence,6157,1544,1564,0.7984697185838413,0.6645439827307069,0.797435565341277,0.2004934424100766,7721
140,12,p95,lstm,506,101,536,0.613705275924803,0.4426946631671041,0.4856046065259117,0.16639209225700163,1042
140,12,p95,persistence,114,931,928,0.10924772400574988,0.05778003041054232,0.10940499040307101,0.8909090909090909,1042
140,12,rise,lstm,328,89,239,0.6666666666666666,0.5,0.5784832451499118,0.21342925659472423,567
140,12,rise,persistence,22,546,545,0.038766519823788544,0.019766397124887692,0.03880070546737213,0.9612676056338029,567
140,12,siaga3,lstm,6616,237,1099,0.9082921471718836,0.8319919517102615,0.857550226830849,0.03458339413395593,7715
140,12,siaga3,persistence,5684,2011,2031,0.7377027903958469,0.5844129138391939,0.736746597537265,0.26133853151397013,7715
140,24,p95,lstm,544,149,498,0.6270893371757925,0.45675902602854745,0.5220729366602687,0.215007215007215,1042
140,24,p95,persistence,775,263,267,0.7451923076923077,0.5938697318007663,0.7437619961612284,0.25337186897880537,1042
140,24,rise,lstm,354,95,243,0.6768642447418738,0.5115606936416185,0.592964824120603,0.21158129175946547,597
140,24,rise,persistence,378,116,219,0.692942254812099,0.5301542776998598,0.6331658291457286,0.23481781376518218,597
140,24,siaga3,lstm,6749,238,955,0.9187938193451773,0.8497859481238983,0.8760384215991692,0.0340632603406326,7704
140,24,siaga3,persistence,7255,421,449,0.9434330299089727,0.8929230769230769,0.9417185877466251,0.05484627410109432,7704
150,1,p95,lstm,902,30,102,0.9318181818181818,0.8723404255319149,0.898406374501992,0.032188841201716736,1004
150,1,p95,persistence,901,74,103,0.9105608893380496,0.8358070500927643,0.897410358565737,0.0758974358974359,1004
150,1,rise,lstm,500,26,84,0.9009009009009009,0.819672131147541,0.8561643835616438,0.049429657794676805,584
150,1,rise,persistence,483,48,101,0.8663677130044843,0.7642405063291139,0.827054794520548,0.0903954802259887,584
150,1,siaga3,lstm,808,31,105,0.9223744292237442,0.8559322033898306,0.8849945235487404,0.03694874851013111,913
150,1,siaga3,persistence,812,75,101,0.9022222222222223,0.8218623481781376,0.8893756845564075,0.08455467869222097,913
150,6,p95,lstm,399,97,600,0.5337792642140469,0.36405109489051096,0.3993993993993994,0.19556451612903225,999
